Event	ID	Name			Wwise Object Path	Notes
	2553873	Edge_Bump			\Default Work Unit\Environment\Edge_Bump	
	80692271	Stop_Ambiant_Voice			\Default Work Unit\Stop_Ambiant_Voice	
	85412153	Ambience			\Default Work Unit\Ambience	
	94004485	Gap_Crunch			\Default Work Unit\Environment\Gap_Crunch	
	552777022	Voice_Win			\Default Work Unit\Voices\Voice_Win	
	555004839	Voice_Player_1_Wins			\Default Work Unit\Voices\Voice_Player_1_Wins	
	622818416	Dash_Attack			\Default Work Unit\Character\Dash_Attack	
	698935911	UI_Action_Button			\Default Work Unit\UI_Action_Button	
	868143001	Fit_Kick_Choc			\Default Work Unit\Feedbacks_Attacks\Fit_Kick_Choc	
	891207143	Geyser_Stop			\Default Work Unit\Environment\Geyser_Stop	
	929594320	Stop_Deplacements_J2			\Default Work Unit\Character\Player_2\Stop_Deplacements_J2	
	929594323	Stop_Deplacements_J1			\Default Work Unit\Character\Player_1\Stop_Deplacements_J1	
	934231090	Voice_Player_2_Wins			\Default Work Unit\Voices\Voice_Player_2_Wins	
	1399799472	Voice_Round_1			\Default Work Unit\Voices\Voice_Round_1	
	1399799474	Voice_Round_3			\Default Work Unit\Voices\Voice_Round_3	
	1399799475	Voice_Round_2			\Default Work Unit\Voices\Voice_Round_2	
	1518705232	Players_Collision			\Default Work Unit\Character\Players_Collision	
	1734322172	Attack_High			\Default Work Unit\Attacks\Attack_High	
	1822637563	Play_Music_Menu_And_Cinematic			\Default Work Unit\Musics\Play_Music_Menu_And_Cinematic	
	2224959990	Voice_Fight			\Default Work Unit\Voices\Voice_Fight	
	2227419164	Music_End			\Default Work Unit\Musics\Music_End	
	2290831937	Spotlight_on			\Default Work Unit\Environment\Spotlight_on	
	2353751109	Geyser_Start			\Default Work Unit\Environment\Geyser_Start	
	2932040671	Play_Music			\Default Work Unit\Musics\Play_Music	
	3126391515	Ice_Break_Gap			\Default Work Unit\Environment\Ice_Break_Gap	
	3134751173	Play_Deplacements_J1			\Default Work Unit\Character\Player_1\Play_Deplacements_J1	
	3134751174	Play_Deplacements_J2			\Default Work Unit\Character\Player_2\Play_Deplacements_J2	
	3346520329	Stop_Music_Menu_And_Cinematic			\Default Work Unit\Musics\Stop_Music_Menu_And_Cinematic	
	3349596862	Attack_Low			\Default Work Unit\Attacks\Attack_Low	

Switch Group	ID	Name			Wwise Object Path	Notes
	2963455281	Switch_Music			\Default Work Unit\Switch_Music	

Switch	ID	Name	Switch Group			Notes
	1658298262	Start_Combat	Switch_Music			
	4195088783	End_Combat	Switch_Music			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3909051	Attaque_High_01	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Attaque_High_with_effects_10C4C929.wem		\Actor-Mixer Hierarchy\Character\Attacks\Attack_Fit_Kicks\Attaque_High_01		110396
	13720595	You_Win_04	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\You_Win_04_49718417.wem		\Actor-Mixer Hierarchy\Voices\Win\You_Win\You_Win_04		27076
	78828263	Combat_rapproché_phase_2_first	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Combat_rapproché_phase_2_first_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproché_phase_2_first\Combat_rapproché_phase_2_first		239914
	82834189	Players_Collision_01	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Players_Collision_01_49718417.wem		\Actor-Mixer Hierarchy\Character\Players_Collision\Players_Collision_01		7090
	84799927	You_Win_03	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\You_Win_03_49718417.wem		\Actor-Mixer Hierarchy\Voices\Win\You_Win\You_Win_03		22421
	102697347	Fight_05	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Fight_05_49718417.wem		\Actor-Mixer Hierarchy\Voices\Fight\Fight_05		17325
	109809174	Combat_rapproché_phase_1_loop_1	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Combat_rapproché_phase_1_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproché_phase_1_loop_1\Combat_rapproché_phase_1_loop_1		169986
	123303757	Combat_rapproché_phase_1_loop_4	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Combat_rapproché_phase_1_loop_4_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_rapproché_phase_1_loop_4\Combat_rapproché_phase_1_loop_4		216408
	138315423	Spotlight Stadium - Reverb_Good	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Spotlight Stadium - Reverb_Good_10C4C929.wem		\Actor-Mixer Hierarchy\Environment\Spotlight_on\Spotlight Stadium - Reverb_Good		297024
	143143403	Combat_à_distance_loop_1	C:\Users\Propriétaire\Desktop\Session Wwise - Nano Projet 1\.cache\Windows\SFX\Combat_à_distance_loop_1_B587EF35.wem		\Interactive Music Hierarchy\Interactive_Music\Music\[01] Introduction\Combat_à_distance_loop_1\Combat_à_distance_loop_1		220670
